sentence,label_name,label_ID,language,source,annotator
"Immigration policies can be shaped by a range of economic factors, including labor market needs, economic competitiveness, and the potential fiscal impact of immigration.",Economic,1,English,self,G04393699
"Political considerations are often at the forefront of debates around immigration, with issues such as national security, border control, and electoral politics playing a significant role.",Political,13,English,self,G04393699
"Cultural identity is a key factor in shaping both public opinion and policy decisions around immigration, with debates often centering on questions of assimilation, integration, and cultural preservation.",Cultural Identity,11,English,self,G04393699
"The economic benefits of immigration are a hotly debated topic, with proponents citing contributions to GDP growth, innovation, and entrepreneurship, and opponents pointing to potential job displacement and wage depression.",Economic,1,English,self,G04393699
"Political rhetoric around immigration can often be divisive, with politicians using the issue to mobilize their base or appeal to specific voter demographics.",Political,13,English,self,G04393699
"Cultural factors such as language, religion, and food can play a significant role in shaping both the experiences of immigrants and the attitudes of the host community towards them.",Cultural Identity,11,English,self,G04393699
"The economic impact of immigration can vary widely depending on factors such as the skill level and education of the immigrant population, as well as the specific industry sectors in which they are employed.",Economic,1,English,self,G04393699
"Political ideology can strongly influence policy decisions around immigration, with some politicians taking a hardline stance on issues such as border control and deportation as a way to appeal to nationalist sentiment or conservative values.",Political,13,English,self,G04393699
"Cultural identity is a complex and multifaceted issue that can be influenced by a range of factors, including language, religion, family ties, and cultural heritage.",Cultural Identity,11,English,self,G04393699
"Immigration policies that provide a path to citizenship for undocumented immigrants can have positive economic and social benefits, such as increased tax revenues, improved public health outcomes, and reduced social inequality.",Policy Prescription and Evaluation,6,English,self,G04393699
Many immigrants come to the United States in search of a better quality of life for themselves and their families.,Quality of Life,10,English,self,G04393699
Immigration policies are often shaped by political ideologies and interests.,Political,13,English,self,G04393699
Public opinion on immigration varies greatly depending on the region and demographics of the population.,Public Sentiment,12,English,self,G04393699
Immigrants contribute to the economy and cultural diversity of a country.,Economic,1,English,self,G04393699
The debate on immigration often revolves around issues such as national security and job competition.,Security and Defense,8,English,self,G04393699
"In some countries, immigration policies have been shaped by xenophobic attitudes towards foreigners.",Other,15,English,self,G04393699
